,start_station_id,start_station_name,start_station_latitude,start_station_longitude,count_rides,postal_code
2646,393,E 5 St & Avenue C,40.72299208,-73.97995466,27,10009
3561,445,E 10 St & Avenue A,40.72740794,-73.98142006,28,10009
11352,511,E 14 St & Avenue B,40.72938685,-73.97772429,28,10009
12051,487,E 20 St & FDR Drive,40.73314259,-73.97573881,27,10009
18099,150,E 2 St & Avenue C,40.7208736,-73.98085795,25,10009
18188,301,E 2 St & Avenue B,40.72217444,-73.98368779,28,10009
21151,432,E 7 St & Avenue A,40.72621788,-73.98379855,28,10009
23494,394,E 9 St & Avenue C,40.72521311,-73.97768752,28,10009
24532,317,E 6 St & Avenue B,40.72453734,-73.98185424,28,10009
26613,504,1 Ave & E 15 St,40.73221853,-73.98165557,28,10009
31020,433,E 13 St & Avenue A,40.72955361,-73.98057249,28,10009
31431,339,Avenue D & E 12 St,40.72580614,-73.97422494,19,10009
40837,266,Avenue D & E 8 St,40.72368361,-73.97574813,18,10009
43467,2003,1 Ave & E 18 St,40.73416059,-73.98024289,28,10009
45366,302,Avenue D & E 3 St,40.72082834,-73.97793172,23,10009
46360,411,E 6 St & Avenue D,40.72228087,-73.97668709,22,10009
4067,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,22,11205
10478,242,Flushing Ave & Carlton Ave,40.69788349,-73.97350332,16,11205
34890,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,24,11205
38232,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,22,11205
43687,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,18,11205
43801,419,Carlton Ave & Park Ave,40.69580705,-73.97355569,24,11205
43852,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,23,11205
45129,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,20,11205
45158,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,18,11205
45189,258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,23,11205
45890,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,20,11205
45994,421,Clermont Ave & Park Ave,40.69573398,-73.97129668,11,11205
46439,313,Washington Ave & Park Ave,40.69610226,-73.96751037,22,11205
46535,409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,16,11205
46560,119,Park Ave & St Edwards St,40.69608941,-73.97803415,10,11205
46633,372,Franklin Ave & Myrtle Ave,40.694528,-73.958089,7,11205
4482,385,E 55 St & 2 Ave,40.75797322,-73.96603308,28,10022
15014,290,2 Ave & E 58 St,40.76020258,-73.96478473,28,10022
26803,464,E 56 St & 3 Ave,40.75934501,-73.96759673,25,10022
29788,454,E 51 St & 1 Ave,40.75455731,-73.96592976,28,10022
30732,305,E 58 St & 3 Ave,40.76095756,-73.96724467,28,10022
36795,367,E 53 St & Lexington Ave,40.75828065,-73.97069431,27,10022
38277,456,E 53 St & Madison Ave,40.7597108,-73.97402311,27,10022
41937,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,28,10022
42428,137,E 56 St & Madison Ave,40.761628,-73.972924,27,10022
42858,2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,23,10022
44121,2022,E 59 St & Sutton Pl,40.75849116,-73.95920622,27,10022
46260,441,E 52 St & 2 Ave,40.756014,-73.967416,27,10022
4587,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,28,10011
4992,253,W 13 St & 5 Ave,40.73543934,-73.99453948,27,10011
5424,116,W 17 St & 8 Ave,40.74177603,-74.00149746,28,10011
9572,482,W 15 St & 7 Ave,40.73935542,-73.99931783,28,10011
10295,223,W 13 St & 7 Ave,40.73781509,-73.99994661,28,10011
10916,254,W 11 St & 6 Ave,40.73532427,-73.99800419,28,10011
11644,434,9 Ave & W 18 St,40.74317449,-74.00366443,28,10011
12446,345,W 13 St & 6 Ave,40.73649403,-73.99704374,28,10011
12664,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,28,10011
13082,462,W 22 St & 10 Ave,40.74691959,-74.00451887,28,10011
17213,168,W 18 St & 6 Ave,40.73971301,-73.99456405,28,10011
19014,435,W 21 St & 6 Ave,40.74173969,-73.99415556,28,10011
26938,463,9 Ave & W 16 St,40.74206539,-74.00443172,28,10011
29166,459,W 20 St & 11 Ave,40.746745,-74.007756,28,10011
30116,453,W 22 St & 8 Ave,40.74475148,-73.99915362,28,10011
31675,212,W 16 St & The High Line,40.74334935,-74.00681753,28,10011
31838,470,W 20 St & 8 Ave,40.74345335,-74.00004031,28,10011
32612,509,9 Ave & W 22 St,40.7454973,-74.00197139,28,10011
34514,383,Greenwich Ave & Charles St,40.735238,-74.000271,25,10011
40871,334,W 20 St & 7 Ave,40.74238787,-73.99726235,28,10011
4731,389,Broadway & Berry St,40.71044554,-73.96525063,20,11211
5153,471,Grand St & Havemeyer St,40.71286844,-73.95698119,25,11211
17998,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,27,11211
27696,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,24,11211
27782,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,21,11211
39217,532,S 5 Pl & S 4 St,40.710451,-73.960876,27,11211
41112,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,23,11211
43894,282,Kent Ave & S 11 St,40.70827295,-73.96834101,20,11211
46645,443,Bedford Ave & S 9th St,40.70853074,-73.96408963,16,11211
4876,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,16,11238
7479,275,Washington Ave & Greene Ave,40.68650065,-73.96563307,18,11238
7874,384,Fulton St & Waverly Ave,40.68317813,-73.9659641,26,11238
14512,365,Fulton St & Grand Ave,40.68223166,-73.9614583,20,11238
19419,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,16,11238
42171,396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,20,11238
45732,289,Monroe St & Classon Ave,40.6845683,-73.95881081,13,11238
46517,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,15,11238
5708,245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,16,11201
8614,2000,Front St & Washington St,40.70255088,-73.98940236,28,11201
9779,279,Sands St & Gold St,40.69986937,-73.98271933,19,11201
11059,239,Willoughby St & Fleet St,40.69196566,-73.9813018,25,11201
17605,314,Montague St & Clinton St,40.69424674,-73.99215922,24,11201
18937,406,Hicks St & Montague St,40.69512845,-73.99595065,24,11201
19339,217,Old Fulton St,40.70277159,-73.99383605,26,11201
22819,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,28,11201
25133,391,Clark St & Henry St,40.69760127,-73.99344559,27,11201
25452,143,Clinton St & Joralemon St,40.69239502,-73.99337909,21,11201
27626,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,21,11201
28336,322,Clinton St & Tillary St,40.696192,-73.991218,24,11201
33938,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,19,11201
34362,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,21,11201
35693,233,Joralemon St & Adams St,40.69246277,-73.98963911,27,11201
36112,392,Jay St & Tech Pl,40.695065,-73.987167,15,11201
40524,310,State St & Smith St,40.68926942,-73.98912867,26,11201
41289,430,York St & Jay St,40.7014851,-73.98656928,27,11201
43625,232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,24,11201
43927,218,Gallatin Pl & Livingston St,40.69028437,-73.98707105,19,11201
43950,144,Nassau St & Navy St,40.69839895,-73.98068914,15,11201
44856,418,Front St & Gold St,40.70224,-73.982578,20,11201
45009,398,Atlantic Ave & Furman St,40.69165183,-73.9999786,25,11201
45071,390,Duffield St & Willoughby St,40.69221589,-73.9842844,22,11201
45309,261,Johnson St & Gold St,40.69474881,-73.98362464,23,11201
45429,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,23,11201
45839,262,Washington Park,40.69178232,-73.97372989,17,11201
45868,278,Concord St & Bridge St,40.69766564,-73.98476437,17,11201
45928,414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,27,11201
46470,407,Henry St & Poplar St,40.700469,-73.991454,21,11201
46571,431,Hanover Pl & Livingston St,40.68864636,-73.98263429,10,11201
46664,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,8,11201
6761,415,Pearl St & Hanover Square,40.7047177,-74.00926027,28,10005
15303,360,William St & Pine St,40.70717936,-74.00887308,26,10005
18531,351,Front St & Maiden Ln,40.70530954,-74.00612572,28,10005
22746,337,Old Slip & Front St,40.7037992,-74.00838676,27,10005
35867,195,Liberty St & Broadway,40.70905623,-74.01043382,28,10005
40619,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,28,10005
6874,265,Stanton St & Chrystie St,40.72229346,-73.99147535,28,10002
7935,401,Allen St & Rivington St,40.72019576,-73.98997825,28,10002
12790,341,Stanton St & Mangin St,40.71782143,-73.97628939,23,10002
13607,410,Suffolk St & Stanton St,40.72066442,-73.98517977,28,10002
16682,361,Allen St & Hester St,40.71605866,-73.99190759,27,10002
17666,307,Canal St & Rutgers St,40.71427487,-73.98990025,27,10002
19855,412,Forsyth St & Canal St,40.7158155,-73.99422366,27,10002
24717,342,Columbia St & Rivington St,40.71739973,-73.98016555,25,10002
25686,473,Rivington St & Chrystie St,40.72110063,-73.9919254,26,10002
31463,296,Division St & Bowery,40.71413089,-73.9970468,26,10002
33423,340,Madison St & Clinton St,40.71269042,-73.98776323,25,10002
35512,349,Rivington St & Ridge St,40.71850211,-73.98329859,25,10002
35795,291,Madison St & Montgomery St,40.713126,-73.984844,24,10002
36276,502,Henry St & Grand St,40.714215,-73.981346,24,10002
37621,531,Forsyth St & Broome St,40.71893904,-73.99266288,28,10002
37792,311,Norfolk St & Broome St,40.7172274,-73.98802084,27,10002
38046,350,Clinton St & Grand St,40.71559509,-73.9870295,28,10002
38152,295,Pike St & E Broadway,40.71406667,-73.99293911,26,10002
38885,312,Allen St & E Houston St,40.722055,-73.989111,25,10002
40766,332,Cherry St,40.71219906,-73.97948148,24,10002
44085,400,Pitt St & Stanton St,40.71926081,-73.98178024,22,10002
44628,408,Market St & Cherry St,40.71076228,-73.99400398,21,10002
46191,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,25,10002
46584,331,Pike St & Monroe St,40.71173107,-73.99193043,22,10002
8365,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,28,10010
16815,507,E 25 St & 2 Ave,40.73912601,-73.97973776,28,10010
18351,545,E 23 St & 1 Ave,40.736502,-73.97809472,28,10010
19959,402,Broadway & E 22 St,40.7403432,-73.98955109,28,10010
35278,466,W 25 St & 6 Ave,40.74395411,-73.99144871,28,10010
36361,444,Broadway & W 24 St,40.7423543,-73.98915076,28,10010
8927,387,Centre St & Chambers St,40.71273266,-74.0046073,28,10007
12203,417,Barclay St & Church St,40.71291224,-74.01020234,28,10007
21328,330,Reade St & Broadway,40.71450451,-74.00562789,27,10007
25979,147,Greenwich St & Warren St,40.71542197,-74.01121978,28,10007
27151,319,Park Pl & Church St,40.71336124,-74.00937622,27,10007
28398,309,Murray St & West St,40.7149787,-74.013012,27,10007
42220,152,Warren St & Church St,40.71473993,-74.00910627,27,10007
44888,386,Centre St & Worth St,40.71494807,-74.00234482,28,10007
9432,228,E 48 St & 3 Ave,40.7546011026,-73.971878855,26,10017
9817,519,Pershing Square N,40.75188406,-73.97770164,28,10017
14716,164,E 47 St & 2 Ave,40.75323098,-73.97032517,25,10017
21429,318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,28,10017
21853,2017,E 43 St & 2 Ave,40.75022392,-73.97121414,28,10017
24274,517,Pershing Square S,40.75149263,-73.97798848,28,10017
28955,455,1 Ave & E 44 St,40.75001986,-73.96905301,20,10017
33796,359,E 47 St & Park Ave,40.75510267,-73.97498696,27,10017
41818,440,E 45 St & 3 Ave,40.75255434,-73.97282625,25,10017
43257,516,E 47 St & 1 Ave,40.75206862,-73.96784384,16,10017
10505,427,State St,40.70251526,-74.01427023,27,10004
34783,259,South St & Whitehall St,40.70122128,-74.01234218,27,10004
36043,534,Water - Whitehall Plaza,40.70255065,-74.0127234,27,10004
41516,304,Broadway & Battery Pl,40.70463334,-74.01361706,28,10004
44791,260,Broad St & Bridge St,40.70365182,-74.01167797,24,10004
13989,3002,South End Ave & Liberty St,40.711512,-74.015756,28,10281
14546,308,St James Pl & Oliver St,40.71307916,-73.99851193,28,10038
31573,376,John St & William St,40.70862144,-74.00722156,27,10038
35135,306,Cliff St & Fulton St,40.70823502,-74.00530063,28,10038
36674,224,Spruce St & Nassau St,40.71146364,-74.00552427,28,10038
44216,316,Fulton St & William St,40.70955958,-74.00653609,26,10038
45482,2009,Catherine St & Monroe St,40.71117444,-73.99682619,23,10038
46128,82,St James Pl & Pearl St,40.71117416,-74.00016545,27,10038
14622,271,Ashland Pl & Hanson Pl,40.68528172,-73.97805813,26,11217
33056,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,17,11217
39326,467,Dean St & 4 Ave,40.68312489,-73.97895137,27,11217
42361,298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,12,11217
43199,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,20,11217
43720,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,27,11217
44310,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,22,11217
45749,243,Fulton St & Rockwell Pl,40.687979,-73.978474,25,11217
22161,343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,12,11251
46556,2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056,2,11251
46640,2001,7 Ave & Farragut St,40.69892054,-73.97332996,5,11251
23216,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,28,10282
26374,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,28,00083
30921,538,W 49 St & 5 Ave,40.75795248,-73.97787642,28,10020
31225,363,West Thames St,40.70834698,-74.01713445,28,10280
46008,2008,Little West St & 1 Pl,40.70569254,-74.01677685,28,10280
33091,499,Broadway & W 60 St,40.76915505,-73.98191841,28,10023
45106,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,16,11216
45467,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,10,11216
46416,437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,18,11216
