,bike_id,weekday,start_hour,start_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_time,end_station_id,end_station_name,end_station_latitude,end_station_longitude,trip_duration,subscriber,birth_year,gender,gender_category,trip_duration_min,start_year,start_month,start_week,start_day,end_year,end_month,end_week,end_day,end_hour,days_category,peak_hours,avg_trip_duration_each_hour,day_of_week,hours_category
17583,15413,Wed,2,2013-09-25 02:05:05,473,Rivington St & Chrystie St,40.72110063,-73.9919254,2013-09-25 02:15:35,534,Water - Whitehall Plaza,40.70255065,-74.0127234,630,Subscriber,1982.0,1,Male,10,2013,9,39,25,2013,9,39,25,2,Weekdays,Normal hours,12.2,4,0am - 5am
17592,17161,Wed,0,2013-09-25 00:35:22,298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,2013-09-25 00:41:57,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,395,Non-Subscriber,,0,Unknown,6,2013,9,39,25,2013,9,39,25,0,Weekdays,Normal hours,13.1,4,0am - 5am
17618,18768,Fri,0,2013-09-13 00:11:48,2010,Grand St & Greene St,40.72165481,-74.00234737,2013-09-13 00:15:53,355,Bayard St & Baxter St,40.71602118,-73.99974372,245,Subscriber,1975.0,1,Male,4,2013,9,37,13,2013,9,37,13,0,Weekdays,Normal hours,13.1,6,0am - 5am
17774,19944,Thu,0,2013-09-12 00:29:06,477,W 41 St & 8 Ave,40.75640548,-73.9900262,2013-09-12 00:36:46,426,West St & Chambers St,40.71754834,-74.01322069,460,Subscriber,1954.0,1,Male,7,2013,9,37,12,2013,9,37,12,0,Weekdays,Normal hours,13.1,5,0am - 5am
17824,18533,Mon,0,2013-09-02 00:02:38,260,Broad St & Bridge St,40.70365182,-74.01167797,2013-09-02 00:26:54,315,South St & Gouverneur Ln,40.70355377,-74.00670227,1456,Non-Subscriber,,0,Unknown,24,2013,9,36,2,2013,9,36,2,0,Weekdays,Normal hours,13.1,2,0am - 5am
17845,15408,Mon,0,2013-09-09 00:58:14,439,E 4 St & 2 Ave,40.7262807,-73.98978041,2013-09-09 01:01:59,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,225,Subscriber,1991.0,1,Male,3,2013,9,37,9,2013,9,37,9,1,Weekdays,Normal hours,13.1,2,0am - 5am
17855,20134,Sat,1,2013-09-28 01:43:18,368,Carmine St & 6 Ave,40.73038599,-74.00214988,2013-09-28 01:53:44,505,6 Ave & W 33 St,40.74901271,-73.98848395,626,Subscriber,1990.0,2,Female,10,2013,9,39,28,2013,9,39,28,1,Weekend,Normal hours,13.1,7,0am - 5am
17995,16116,Fri,2,2013-09-27 02:20:17,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,2013-09-27 02:25:15,523,W 38 St & 8 Ave,40.75466591,-73.99138152,298,Non-Subscriber,,0,Unknown,4,2013,9,39,27,2013,9,39,27,2,Weekdays,Normal hours,12.2,6,0am - 5am
18007,17326,Sun,1,2013-09-08 01:31:21,471,Grand St & Havemeyer St,40.71286844,-73.95698119,2013-09-08 01:39:05,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,464,Subscriber,1975.0,2,Female,7,2013,9,36,8,2013,9,36,8,1,Weekend,Normal hours,13.1,1,0am - 5am
18023,17109,Sat,4,2013-09-21 04:09:28,394,E 9 St & Avenue C,40.72521311,-73.97768752,2013-09-21 04:19:11,403,E 2 St & 2 Ave,40.72502876,-73.99069656,583,Subscriber,1976.0,1,Male,9,2013,9,38,21,2013,9,38,21,4,Weekend,Normal hours,11.6,7,0am - 5am
